x1,x2,y
0.8,1.39,6.57
0.26,1.6,6.46
0.76,1.15,6.06
0.47,1.39,6.27
0.61,1.69,6.99
0.14,1.36,5.85
0.32,1.38,6.07
0.51,1.94,7.39
0.82,1.37,6.55
0.85,1.25,6.36
0.62,1.38,6.39
0.75,1.28,6.31
0.3,1.62,6.54
0.95,1.6,7.15
0.74,1.4,6.54
0.39,1.24,5.87
0.06,1.05,5.17
0.86,1.2,6.25
0.98,1.32,6.62
0.55,1.93,7.4
0.41,1.55,6.51
0.71,1.54,6.8
0.97,1.16,6.28
0.45,1.99,7.42
0.51,1.75,7.0
0.28,1.08,5.44
0.73,1.3,6.34
0.9,1.67,7.25
0.05,1.55,6.15
0.47,1.94,7.33
0.77,1.33,6.43
0.79,1.4,6.58
0.72,1.01,5.73
0.08,1.02,5.12
0.11,1.87,6.86
0.62,1.91,7.43
0.17,1.38,5.93
0.31,1.45,6.18
0.55,1.97,7.48
0.64,1.8,7.24
0.35,1.68,6.73
0.56,1.58,6.74
0.2,1.69,6.57
0.12,1.7,6.51
0.26,1.17,5.61
0.09,1.01,5.1
0.8,1.4,6.61
0.81,1.14,6.08
0.86,1.11,6.09
0.06,1.38,5.82
0.35,1.99,7.34
0.9,1.02,5.94
0.74,1.16,6.07
0.85,1.94,7.72
0.01,1.06,5.12
0.21,1.03,5.27
0.38,1.19,5.75
0.24,1.65,6.55
0.17,1.89,6.96
0.49,1.01,5.52
0.7,1.08,5.87
0.01,1.23,5.48
0.56,1.4,6.35
0.96,1.74,7.45
0.64,1.18,6.0
0.17,1.8,6.77
0.36,1.04,5.45
0.99,1.96,7.91
0.69,1.35,6.4
0.98,1.18,6.34
0.72,1.34,6.39
0.88,1.44,6.76
0.48,1.79,7.07
0.16,1.95,7.07
0.4,1.21,5.82
0.71,1.53,6.78
0.6,1.01,5.64
0.98,1.56,7.11
0.22,1.64,6.49
0.91,1.25,6.42
0.77,1.29,6.34
0.41,1.12,5.67
0.97,1.02,6.02
0.52,1.89,7.31
0.13,1.1,5.32
0.96,1.31,6.59
0.8,1.82,7.44
0.11,1.28,5.66
0.31,1.36,6.02
0.72,1.96,7.64
0.01,1.21,5.43
0.33,1.31,5.95
0.57,1.63,6.83
0.01,1.5,5.99
0.04,1.29,5.61
0.21,1.46,6.12
0.98,1.87,7.71
0.87,1.29,6.45
0.6,1.76,7.12
0.35,1.31,6.0
