x1,x2,y
0.35,1.93,7.21
0.46,1.9,7.26
0.68,1.13,5.93
0.9,1.66,7.22
0.91,1.5,6.9
0.89,1.56,7.01
0.4,1.93,7.26
0.8,1.22,6.24
0.74,1.98,7.69
0.14,1.73,6.61
0.33,1.59,6.52
0.97,1.28,6.53
0.39,1.65,6.69
0.08,1.37,5.83
0.93,1.7,7.33
0.49,1.33,6.14
0.26,1.84,6.95
0.17,1.62,6.41
0.1,1.21,5.51
0.78,1.68,7.14
0.06,1.38,5.82
0.16,1.22,5.59
0.23,1.82,6.87
0.03,1.35,5.73
0.62,1.12,5.86
0.36,1.97,7.28
0.7,1.93,7.57
0.13,1.36,5.86
0.47,1.94,7.35
0.83,1.68,7.18
0.94,1.82,7.59
0.35,1.31,5.97
0.52,1.92,7.34
0.53,1.14,5.81
0.77,1.62,7.01
0.52,1.78,7.07
0.57,1.21,5.99
0.12,1.92,6.97
0.6,1.32,6.25
0.27,1.95,7.16
0.73,1.79,7.3
0.94,1.98,7.89
0.32,1.06,5.44
0.62,1.15,5.92
0.22,1.04,5.31
0.11,1.77,6.65
0.62,1.56,6.73
0.82,1.19,6.19
0.18,1.97,7.12
0.45,1.62,6.68
0.77,1.08,5.94
0.82,1.67,7.16
0.45,1.51,6.45
0.64,1.56,6.75
0.71,1.13,5.97
0.82,1.94,7.68
0.84,1.29,6.42
0.05,1.33,5.71
0.74,1.63,7.0
0.62,1.43,6.48
0.19,1.31,5.81
0.19,1.67,6.52
0.86,1.26,6.37
0.26,1.28,5.83
0.17,1.37,5.9
0.03,1.4,5.85
0.84,1.03,5.89
0.3,1.61,6.52
0.78,1.53,6.83
0.25,1.3,5.85
0.61,1.34,6.3
0.68,1.83,7.34
0.79,1.05,5.88
0.25,1.78,6.81
0.31,1.77,6.86
0.47,1.68,6.86
0.31,1.42,6.15
0.81,1.9,7.63
0.55,1.01,5.57
0.73,1.98,7.7
0.31,1.38,6.07
0.81,1.33,6.46
0.77,1.87,7.52
0.55,1.49,6.52
0.8,1.16,6.13
0.67,1.33,6.34
0.25,1.31,5.87
0.52,1.96,7.46
0.36,1.68,6.72
0.78,1.3,6.38
0.64,1.57,6.76
0.84,1.7,7.24
0.43,1.73,6.89
0.51,1.77,7.03
0.85,1.59,7.05
0.13,1.57,6.27
0.05,1.11,5.27
0.32,1.2,5.73
0.35,1.33,5.99
0.37,1.96,7.29
